Name,Location,Ranking,Cost of Living,Intakes,Application Fees,Under Graduate GPA/Percentage,Under Graduate Tuition Fees,IELTS marks required,PTE marks required,Gap?,Post Graduate Tuition Fees,Post Graduate GPA/Percentage,Post Graduate IELTS,Post Graduate PTE,Post Graduate Gap Acceptance,Agent,Sample Undergraduate Courses,Sample Postgraduate Courses
University of Waterloo,Waterloo,5,24000,September,7,95,33000,6.5,88,Yes,25000,70,6,50,Yes,Agent DD,Bachelor of Engineering; Bachelor of Mathematics; Bachelor of Science,Master of Business Administration; Master of Engineering; Master of Public Policy
University of Waterloo,Waterloo,38,18000,September,6.5,90,28000,6,85,Yes,25000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Policy
Victoria University of Wellington,Wellington,3,21000,February,130,75,40000,6.5,58,Yes,25000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Commerce; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Policy; Master of International Relations
Wellington Institute of Technology,Wellington,23,20500,February,130,75,36500,6.5,58,Yes,25000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Commerce; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Policy; Master of International Relations
NorthTec,Whangarei,13,15500,February,80,50,29000,6.5,58,Yes,25000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Commerce; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Policy; Master of International Relations
Northland Polytechnic,Whangarei,28,23000,February,155,85,39000,6.5,58,Yes,48000,70,6,50,Yes,Agent DD,Bachelor of Arts; Bachelor of Business; Bachelor of Science; Bachelor of Engineering,Master of Business Administration; Master of Engineering; Master of Public Policy; Master of International Relations
University of Windsor,Windsor,18,11000,September,6.5,90,20000,6,85,Yes,48000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Health
University of Windsor,Windsor,34,14000,September,6.5,90,24000,6,85,Yes,48000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Policy
University of Manitoba,Winnipeg,10,19000,September,6.5,90,28000,6,85,Yes,48000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Health
University of Manitoba,Winnipeg,29,10000,September,6.5,90,20000,6,85,Yes,48000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Health
University of Manitoba,Winnipeg,31,11000,September,6.5,90,21000,6,85,Yes,48000,70,6,50,Yes,Agent DD,Bachelor of Commerce; Bachelor of Science; Bachelor of Arts,Master of Business Administration; Master of Engineering; Master of Public Health
University of Wollongong,Wollongong,12,20000,February,100,80,31000,6.5,58,Yes,35000,80,6.5,58,Yes,Agent L,Bachelor of Arts; Bachelor of Commerce; Bachelor of Science; Bachelor of Laws,Master of Computer Science; Master of Education; Master of Engineering; Master of Business Administration
